date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2/18/2020,0,-1,6,1,0,1
2/19/2020,2,0,8,1,1,0
2/20/2020,1,0,4,0,0,1
2/21/2020,2,-2,4,1,0,0
2/22/2020,7,3,23,5,4,-1
2/23/2020,7,3,23,5,2,-1
2/24/2020,2,1,9,1,3,0
2/25/2020,4,1,9,2,2,0
2/26/2020,7,2,5,3,2,-1
2/27/2020,8,3,12,4,2,0
2/28/2020,8,3,10,5,2,-1
2/29/2020,12,7,21,7,4,-2
3/1/2020,13,9,18,7,3,-1
3/2/2020,7,6,10,2,3,-1
3/3/2020,11,10,20,3,2,-1
3/4/2020,8,6,17,2,3,-1
3/5/2020,8,7,21,2,3,-1
3/6/2020,5,3,12,2,2,-1
3/7/2020,10,8,29,7,5,-1
3/8/2020,10,7,40,5,2,-1
3/9/2020,6,6,31,-1,0,0
3/10/2020,6,7,18,-3,-2,1
3/11/2020,8,10,26,-2,-1,0
3/12/2020,6,23,19,-6,-3,1
3/13/2020,2,26,4,-10,-7,3
3/13/2020,-6,18,3,-10,-1,3
3/15/2020,-9,12,5,-13,-7,3
3/16/2020,-8,21,-1,-22,-20,8
3/17/2020,-18,14,8,-26,-27,11
3/18/2020,-24,8,6,-30,-31,13
3/19/2020,-28,7,2,-36,-33,15
3/20/2020,-32,5,-2,-37,-36,16
3/21/2020,-40,-2,-3,-36,-24,12
3/22/2020,-44,-13,-12,-44,-31,11
3/23/2020,-38,-10,-23,-47,-41,17
3/24/2020,-39,-12,-10,-46,-45,19
3/25/2020,-40,-15,-7,-47,-46,19
3/26/2020,-40,-14,3,-48,-47,20
3/27/2020,-42,-16,-7,-49,-46,21
3/28/2020,-48,-19,-25,-49,-34,15
3/29/2020,-47,-22,-19,-51,-38,12
3/30/2020,-40,-18,-15,-50,-48,19
3/31/2020,-40,-16,-16,-49,-49,20
4/1/2020,-37,-11,-7,-48,-49,20
4/2/2020,-40,-11,-9,-51,-50,21
4/3/2020,-42,-12,-21,-51,-50,22
4/4/2020,-48,-15,-24,-50,-37,15
4/5/2020,-49,-20,-20,-54,-40,13
4/6/2020,-42,-16,-10,-52,-50,20
4/7/2020,-42,-14,-2,-51,-51,21
4/8/2020,-42,-15,-6,-51,-51,21
4/9/2020,-43,-13,-21,-54,-52,22
4/10/2020,-43,-13,-21,-54,-56,24
4/11/2020,-45,-7,-16,-49,-38,14
4/12/2020,-63,-39,-36,-56,-45,13
4/13/2020,-45,-22,-31,-55,-51,21
4/14/2020,-40,-16,-15,-50,-50,20
4/15/2020,-36,-13,-16,-49,-49,20
4/16/2020,-39,-13,-14,-50,-49,21
4/17/2020,-42,-17,-22,-51,-48,22
4/18/2020,-45,-15,-20,-47,-33,14
4/19/2020,-45,-19,-10,-50,-37,11
4/20/2020,-39,-16,-7,-49,-48,19
